,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,R3.5,0,R3.5,R3.5,R3.5,R3.5,R3.5,R3.5,R3.5,R3.5,R3.5,R3.5,R3.5,
K,0,0,R3.5,R3.5,R3.5,0,0,0,0,0,0,0,0,
Q,0,0,0,R3.5,R3.5,R3.5,0,0,0,0,0,0,0,
J,0,0,0,0,R3.5,R3.5,0,0,0,0,0,0,0,
T,0,0,0,0,0,R3.5,R3.5,0,0,0,0,0,0,
9,0,0,0,0,0,0,R3.5,R3.5,0,0,0,0,0,
8,0,0,0,0,0,0,0,R3.5,R3.5,0,0,0,0,
7,0,0,0,0,0,0,0,0,R3.5,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,R3.5,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,R3.5,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,


A,0,0,R3.5,R3.5,0,R3.5,0,0,0,0,0,0,0,
K,R3.5,0,R3.5,R3.5,0,0,0,0,0,0,0,0,0,
Q,R3.5,R3.5,0,R3.5,0,0,0,0,0,0,0,0,0,
J,R3.5,R3.5,R3.5,0,0,0,0,0,0,0,0,0,0,
T,R3.5,R3.5,R3.5,R3.5,0,R3.5,0,0,0,0,0,0,0,
9,0,0,0,0,0,R3.5,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,R3.5,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,R3.5,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,R3.5,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,R3.5,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,R3.5,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,R3.5,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,R3.5,
