,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,W7,W7,W7,W7,W7,0,0,0,0,0,0,0,0
K,W7,0,W7,W7,W7,0,0,0,0,0,0,0,0
Q,W7,W7,0,W7,W7,0,0,0,0,0,0,0,0
J,W7,W7,W7,0,W7,0,0,0,0,0,0,0,0
T,W7,W7,W7,W7,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
A,W7,W7,W7,W7,W7,W7,0,0,0,0,0,0,0
K,W7,W7,W7,W7,W7,W7,0,0,0,0,0,0,0
Q,W7,W7,W7,W7,W7,W7,0,0,0,0,0,0,0
J,W7,W7,W7,W7,W7,W7,0,0,0,0,0,0,0
T,W7,W7,W7,W7,W7,W7,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
